item_id,title
1,Accounting
2,Actuarial Science
3,Advertising
4,Agriculture
5,Animal Bioscience
6,Anthropology
7,Applied Mathematics
8,Archaeology
9,Architectural Engineering
10,Studio Art and Theater
11,Biobehavioral Health
12,Biochemistry
13,Chemical Engineering
14,Civil Engineering
15,Computer Engineering & Computer Science 
16,"Crime, Law, And Justice"
17,Electrical Engineering
18,History
19,Kinesiology
20,Social Work
21,Theater
22,Women's Studies
23,Psychology
24,Music
25,Nursing and Pre-med
